wallet_address,player_name,actual_royal_favor,gold_value,main_pot_share,chain,day_one_cashout_npc_kills,day_two_cashout_npc_kills,day_three_cashout_npc_kills,day_four_cashout_npc_kills,day_five_cashout_npc_kills
0x94F69a8075758BDAD8FEaB86eE5e32e368e5dfbe,KOHb,144680,86484,0.00065068,blast,,,,,6
0xd75057095A8E10472a85a634ABaf0275238FD52F,oral,79037,17029,0.00064822,blast,,59,17,,10
0xb35c3cA89128efA246A438319C3b8Cff64D6A538,Radogar,162614,19840,0.00064488,blast,,,,,
0x795E20F3d1f8f0991b15f552046C1B2Ece5440b7,un4g1vable_BALAGAN,115590,194556,0.00064420,blast,,,,,13
0xA160E89117DAF8607E39Dd2d7A265b0089325af1,ilovedoingm.eth,113803,327595,0.00064304,blast,,,,,
0xFC73Cad8f59e79c898b35161724D5f1CDBAFa26A,Opeon,94363,450500,0.00064251,ronin,,,,,
0xc34C88dF1238C1dAA240526e1299E3f7B043c166,WBT-MAN,133761,198247,0.00064165,blast,,,,,
0x379b5D286d5cff4189e9BcA9c42672199409f3e6,BitDegen,117465,301445,0.00064130,blast,,,,,
0x79D6bD2D954BF81fb0E43bB363575D853BB344B4,Nervouzss,133425,198391,0.00064043,ronin,,,,,
0xBf2A95266f1A522385acB9a1FD05774aAa18D366,ThystinMANA,81871,526288,0.00064022,ronin,,,,,
0x28E714608A632B2aC89d6119e0CC898495a669a1,神秘的东东,146472,109781,0.00063704,blast,,,,,
0xbF7d34EB0403A3f3181cac1EfEE50bb0fdCb5929,Patowsaints,146141,108760,0.00063513,blast,,,,,
0x4B6d0854Ee25E7F38b0A1CFcb7A1Ded06a30Cc69,nomadix_BALAGAN,97283,324646,0.00063504,blast,,,,,10
0x301b552D3be01ac626ae184DeAF0dd41941F852c,Noklini,111540,186606,0.00063212,ronin,,,5,,10
0x9cDA8Cb2007cFEa092D8c01955f6c39388Aa0a15,神秘的巨龙,128775,209386,0.00062905,blast,,,,,
0x27Cf8f64bfdda36149bA8B0D5a6E8a57a2580B6d,PK_godbless,142380,121703,0.00062840,ronin,,,,,
0xa8c145B610c33c0fDF543618114AD96624268DA7,atylari,74748,474891,0.00062756,ronin,,,,,8
0x9Bb4cB5FA706f2079c3bBd3488bE05AE7eEA2C06,CN-Guuu,149911,68408,0.00062514,blast,,,,,
0x0B863Be677BdE432E5782eB990a67E321cB7086D,TGGExCapz,73154,556709,0.00062489,ronin,,,,,
0x5a5818236f79E9d9F39c80F84D0Fa2968c75A26c,tendo,155604,30785,0.00062430,blast,,,,,
0x408682ac02Cb9bdb4931f591bB3AAAC567c9148D,PK_AKAKAK,44619,733901,0.00062214,blast,,,,,
0x9a3F50A3442885BEF4c2C88Ca20e6aECF3Fe7089,KeaaNqe,140612,0,0.00061685,ronin,,,,,12
0x36C9FBEC6E87Bb002Aadf321460eEfE88a490BD0,shprot,128992,34094,0.00061571,blast,,,,,16
0xa71078138D848C407d8654E7F6539cCfd7721997,SLON_BALAGAN,117567,162931,0.00061514,blast,,,,,10
0x7B07Addf6eab6D3F62794C4F0Ecb86E59F65bD4F,WBT-K19,104287,137859,0.00061505,blast,1,,,,
0x888565699D59Ea660AC484976d3B90c4116eC811,HCO_Laxo,153301,27876,0.00061356,blast,,,,,
0x03eE7FB876Efa1C212Dc87a092e8D37a98c8A825,Ukrlan,78943,496990,0.00061092,blast,,,,,
0xD8a4508492f13e2E55b4a77a3AeD08f43e9Bd853,心容山河眉藏锋,106723,319232,0.00061038,blast,,,,,
0x69F9Bffb3D8e900564E5aEBA4fb99455E26cD4ea,LebrasdeDIA,151388,34847,0.00061037,blast,,,,,
0x1A2Ded7FD2b6d19bCb77Eb9A4B8Da03fCbFebf2e,mhmmm,135452,134106,0.00060903,ronin,,,,,
0x119011594B746124f03deFf4240315BBD70308B8,floppi,149062,47072,0.00060879,blast,,,,,
0x7E9a6B8D24d400947C402fF02dB64EF293E8AF25,Glacio,71300,427509,0.00060842,ronin,,,,,12
0x20CCa4c77d3285DF403FDD209cDE9D17549a41b4,KdrewMana,150602,36154,0.00060811,blast,,,,,
0xbFd58FEdE1951EC23e778902C26cA6c6A7eab314,longlive10,124082,49392,0.00060595,blast,,,,,16
0xBbea9f7f64df3FCfa0a680f3A7504a57e56f004C,Blackoko,124555,43781,0.00060507,ronin,,17,,,7
0x2779940dfEfe546966c1036da45828778d115bF8,MEPOxAme,34871,310156,0.00060121,blast,2,,5,,
0x1FdD90E0F6692eFA9Cfad13A77ABde49269F03Cd,EggCTAC,136140,114620,0.00059979,blast,,,,,
0x064233686B714b9E3b59Fe564a156a885Ab6a88d,Joinewer,65360,564565,0.00059936,blast,,,,,
0x1Ee47E6e2C55d1ef8bE0C93c2e65378FbaEDd152,akne,152872,7011,0.00059914,blast,,,,,
0x1F71969Deaf5D5C8f1Cb32CB4890b5E2db21485d,GuhzeriTGG,82425,452059,0.00059701,ronin,,,,,
0xA035D79a7F0A1743855E79B579FEb7BE6917ff14,1xGWYN,138906,6166,0.00059656,blast,,,,,9
0xd2260FAb735B9BD487253527af53b0f1495E402b,koi,142060,69439,0.00059522,blast,,,,,
